Player,Age,TS%,eFG%,W,L
Kevin Durant,29,0.654,0.586,82,0
Stephen Curry,29,0.56,0.522,82,0
Klay Thompson,27,0.613,0.6,82,0
Draymond Green,27,0.593,0.569,82,0
JaVale McGee,30,0.783,0.8,82,0
Shaun Livingston,32,0.895,0.867,82,0
Jordan Bell,23,0.691,0.714,82,0
Andre Iguodala,34,0.738,0.708,82,0
Kevon Looney,21,0.571,0.714,82,0
Zaza Pachulia,33,0.709,0.333,82,0
David West,37,0.7,0.7,82,0
Nick Young,32,0.192,0.192,82,0
Quinn Cook,24,0.333,0.333,82,0
Patrick McCaw,22,1.136,,82,0
LeBron James,33,0.62,0.559,0,82
Kevin Love,29,0.535,0.477,0,82
J.R. Smith,32,0.44,0.427,0,82
George Hill,31,0.446,0.435,0,82
Rodney Hood,25,0.477,0.463,0,82
Tristan Thompson,26,0.513,0.52,0,82
Larry Nance,25,0.494,0.5,0,82
Jeff Green,31,0.364,0.339,0,82
Jordan Clarkson,25,0.231,0.231,0,82
Kyle Korver,36,0.165,0.094,0,82
Ante Zizic,21,1,1,0,82
Jose Calderon,36,0.5,0.5,0,82
Cedi Osman,22,0.4,0.4,0,82
Team Totals,26.5,0.496,0.459,0,82
