Tm,Season,G,W,L
LAC,2017-18,82,42,40
LAL,2017-18,82,35,47
NYK,2017-18,82,29,53
OKC,2017-18,82,48,34
CHI,2017-18,82,27,55
TOR,2017-18,82,59,23
MIL,2017-18,82,44,38
ATL,2017-18,82,24,58
DAL,2017-18,82,24,58
CHO,2017-18,82,36,46
DET,2017-18,82,39,43
BRK,2017-18,82,28,54
IND,2017-18,82,48,34
MEM,2017-18,82,22,60
NOP,2017-18,82,48,34
MIA,2017-18,82,44,38
ORL,2017-18,82,25,57
PHO,2017-18,82,21,61
POR,2017-18,82,49,33
SAC,2017-18,82,27,55
MIN,2017-18,82,47,35
SAS,2017-18,82,47,35
DEN,2017-18,82,46,36
UTA,2017-18,82,48,34
PHI,2017-18,82,52,30
WAS,2017-18,82,43,39
BOS,2017-18,82,55,27
CLE,2017-18,82,50,32
GSW,2017-18,82,58,24
HOU,2017-18,82,65,17
ATL,2016-17,82,43,39
WAS,2016-17,82,49,33
CHI,2016-17,82,41,41
LAC,2016-17,82,51,31
BOS,2016-17,82,53,29
BRK,2016-17,82,20,62
DAL,2016-17,82,33,49
IND,2016-17,82,42,40
HOU,2016-17,82,55,27
LAL,2016-17,82,26,56
MEM,2016-17,82,43,39
MIN,2016-17,82,31,51
CHO,2016-17,82,36,46
MIL,2016-17,82,42,40
DEN,2016-17,82,40,42
NOP,2016-17,82,34,48
MIA,2016-17,82,41,41
ORL,2016-17,82,29,53
OKC,2016-17,82,47,35
PHI,2016-17,82,28,54
PHO,2016-17,82,24,58
SAC,2016-17,82,32,50
DET,2016-17,82,37,45
TOR,2016-17,82,51,31
CLE,2016-17,82,51,31
NYK,2016-17,82,31,51
GSW,2016-17,82,67,15
SAS,2016-17,82,61,21
POR,2016-17,82,41,41
UTA,2016-17,82,51,31
BOS,2015-16,82,48,34
PHI,2015-16,82,10,72
BRK,2015-16,82,21,61
UTA,2015-16,82,40,42
DEN,2015-16,82,33,49
HOU,2015-16,82,41,41
LAL,2015-16,82,17,65
MIN,2015-16,82,29,53
MEM,2015-16,82,42,40
CHO,2015-16,82,48,34
MIA,2015-16,82,48,34
MIL,2015-16,82,33,49
NYK,2015-16,82,32,50
OKC,2015-16,82,55,27
SAS,2015-16,82,67,15
ORL,2015-16,82,35,47
WAS,2015-16,82,41,41
DAL,2015-16,82,42,40
PHO,2015-16,82,23,59
POR,2015-16,82,44,38
LAC,2015-16,82,53,29
SAC,2015-16,82,33,49
IND,2015-16,82,45,37
TOR,2015-16,82,56,26
ATL,2015-16,82,48,34
DET,2015-16,82,44,38
CHI,2015-16,82,42,40
CLE,2015-16,82,57,25
GSW,2015-16,82,73,9
NOP,2015-16,82,30,52
CLE,2014-15,82,53,29
LAC,2014-15,82,56,26
BOS,2014-15,82,40,42
BRK,2014-15,82,38,44
CHO,2014-15,82,33,49
MIL,2014-15,82,41,41
DEN,2014-15,82,30,52
DET,2014-15,82,32,50
IND,2014-15,82,38,44
PHI,2014-15,82,18,64
