Age,G_x,GS,MP_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB_x,AST_x,STL_x,BLK_x,TOV,PF,PTS_x,FG%,2P%,3P%,eFG%,FT%,TS%,W,L
29,82,82,3382,820,1558,,,184,451,533,553,41,840,881,615,61,184,184,246,2357,0.526,,0.409,0.586,0.963,0.654,82,0
29,82,82,3321,758,1886,,,451,1086,287,287,61,430,492,553,123,61,225,225,2255,0.402,,0.415,0.522,1.0,0.56,82,0
27,82,82,3034,492,1025,,,246,574,82,102,0,307,307,82,41,20,102,246,1312,0.48,,0.429,0.6,0.8,0.613,82,0
27,82,82,3382,307,594,,,61,287,82,102,82,410,492,697,164,123,102,369,758,0.517,,0.214,0.569,0.8,0.593,82,0
30,82,61,1127,328,410,,,0,0,0,20,82,102,184,0,0,102,20,123,656,0.8,,,0.8,0.0,0.7829999999999999,82,0
32,82,0,1332,266,307,,,0,0,82,82,20,205,225,123,20,0,20,143,615,0.867,,,0.867,1.0,0.895,82,0
23,82,0,1107,205,287,,,0,20,61,123,82,184,266,82,20,41,0,82,471,0.7140000000000001,,0.0,0.7140000000000001,0.5,0.691,82,0
34,41,0,922,143,246,,,61,123,41,41,20,61,82,20,61,41,20,123,389,0.583,,0.5,0.708,1.0,0.738,82,0
21,82,20,799,102,143,,,0,0,0,82,82,41,123,20,20,0,0,82,205,0.7140000000000001,,,0.7140000000000001,0.0,0.5710000000000001,82,0
33,41,0,123,20,61,,,0,0,123,123,20,41,61,0,0,20,20,0,164,0.33299999999999996,,,0.33299999999999996,1.0,0.7090000000000001,82,0
37,82,0,574,61,102,,,20,20,0,0,41,61,102,82,0,61,61,82,143,0.6,,1.0,0.7,,0.7,82,0
32,82,0,779,41,266,,,20,205,0,0,0,41,41,0,0,0,0,61,102,0.154,,0.1,0.192,,0.192,82,0
24,41,0,82,20,61,,,0,20,0,0,0,0,0,0,0,0,0,0,41,0.33299999999999996,,0.0,0.33299999999999996,,0.33299999999999996,82,0
22,82,0,225,0,0,,,0,0,41,41,20,0,20,0,20,0,0,0,41,,,,,1.0,1.136,82,0
33,82,82,3669,1004,1906,,,123,369,656,779,184,512,697,820,102,82,410,225,2788,0.527,,0.33299999999999996,0.5589999999999999,0.8420000000000001,0.62,0,82
29,82,82,2726,533,1312,,,184,574,307,328,287,635,922,143,82,20,102,123,1558,0.406,,0.321,0.47700000000000004,0.938,0.535,0,82
32,82,82,2665,266,840,,,184,512,61,102,82,184,266,102,102,0,61,164,779,0.317,,0.36,0.42700000000000005,0.6,0.44,0,82
31,82,82,2398,205,635,,,143,328,61,123,102,82,184,184,61,20,123,328,615,0.32299999999999995,,0.43799999999999994,0.435,0.5,0.446,0,82
25,82,0,1148,246,553,,,20,102,41,61,102,205,307,61,41,41,41,82,553,0.444,,0.2,0.46299999999999997,0.667,0.47700000000000004,0,82
26,82,82,1927,266,512,,,0,0,20,61,164,266,430,0,0,61,20,143,553,0.52,,,0.52,0.33299999999999996,0.513,0,82
25,82,0,1394,184,369,,,0,0,102,246,307,266,574,123,41,41,41,143,471,0.5,,,0.5,0.41700000000000004,0.494,0,82
31,82,0,1988,164,574,,,61,287,41,41,41,61,102,164,20,20,41,61,430,0.28600000000000003,,0.214,0.33899999999999997,1.0,0.364,0,82
25,41,0,512,61,266,,,0,61,0,0,20,61,82,20,41,20,41,41,123,0.231,,0.0,0.231,,0.231,0,82
36,82,0,1332,20,328,,,20,225,61,102,41,102,143,61,0,20,41,143,123,0.063,,0.091,0.094,0.6,0.165,0,82
21,61,0,102,61,61,,,0,0,0,0,20,0,20,0,0,0,0,41,123,1.0,,,1.0,,1.0,0,82
36,61,0,164,41,82,,,0,20,0,0,20,41,61,41,20,0,0,0,82,0.5,,0.0,0.5,,0.5,0,82
22,61,0,164,41,102,,,0,20,0,0,0,20,20,0,0,0,0,0,82,0.4,,0.0,0.4,,0.4,0,82
